Latitude,Longitude,Time
39.963192,116.350072,2025-06-30 16:11:58.444000+00:00
39.96341207,116.3494727,2025-06-30 16:53:07+00:00
39.96353985,116.34994002,2025-07-01 01:15:17.420000+00:00
39.96223813,116.35096008,2025-07-01 01:16:00.412000+00:00
39.96032256,116.35104573,2025-07-01 01:16:37+00:00
39.96039726,116.35025458,2025-07-01 01:17:08+00:00
39.96039343,116.35024766,2025-07-01 01:17:41.422000+00:00
39.96049498,116.34994328,2025-07-01 01:55:55+00:00
39.96043118,116.35008566,2025-07-01 03:21:22.415000+00:00
39.96086569,116.35111263,2025-07-01 03:22:09+00:00
39.96144853,116.35253639,2025-07-01 03:22:39.416000+00:00
39.96170158,116.3528686,2025-07-01 03:23:16+00:00
39.96251395,116.35223927,2025-07-01 03:25:55.420000+00:00
39.96324135,116.35085499,2025-07-01 03:26:26+00:00
39.96364716,116.35098136,2025-07-01 03:26:56+00:00
39.96347197,116.35124418,2025-07-01 03:27:29.384000+00:00
39.96352687,116.35108752,2025-07-01 03:27:59.413000+00:00
39.96322592,116.35005899,2025-07-01 03:32:19+00:00
39.963219,116.3502,2025-07-01 04:36:16.093000+00:00
39.96317465,116.35042055,2025-07-01 07:04:52+00:00
39.96216854,116.35114814,2025-07-01 07:05:23.425000+00:00
39.9607585,116.35109915,2025-07-01 07:05:56+00:00
39.96036897,116.35043757,2025-07-01 07:06:26+00:00
39.9604039,116.35030497,2025-07-01 07:07:01.428000+00:00
39.9604228,116.35011437,2025-07-01 07:09:00+00:00
39.96043236,116.35000917,2025-07-01 07:09:36+00:00
39.96032196,116.34984541,2025-07-01 07:34:59+00:00
39.96034693,116.35023643,2025-07-01 07:52:59.426000+00:00
39.96042219,116.35093692,2025-07-01 07:54:05+00:00
39.95935081,116.35180733,2025-07-01 08:08:01.427000+00:00
39.96036302,116.35100816,2025-07-01 08:11:07+00:00
39.96046784,116.35052125,2025-07-01 08:11:40+00:00
39.960373,116.349964,2025-07-01 08:30:11.551000+00:00
39.96057,116.350188,2025-07-01 09:35:10.970000+00:00
39.96076514,116.34934997,2025-07-01 09:36:08.422000+00:00
39.9609,116.349661,2025-07-01 09:41:58.553000+00:00
39.9606525,116.34936384,2025-07-01 09:52:08+00:00
39.959854,116.349003,2025-07-01 09:53:33.355000+00:00
39.95987027,116.34900339,2025-07-01 09:54:05.418000+00:00
39.95988261,116.34898857,2025-07-01 09:54:36+00:00
39.9598976,116.34899793,2025-07-01 09:55:06+00:00
39.95988341,116.34899791,2025-07-01 09:55:36+00:00
39.96332295,116.34875723,2025-07-01 09:57:06+00:00
39.96552102,116.3486248,2025-07-01 09:57:36+00:00
39.96746006,116.34854047,2025-07-01 09:58:06+00:00
39.9707677,116.3483393,2025-07-01 09:58:36+00:00
39.97385871,116.34827737,2025-07-01 09:59:06+00:00
39.9754199,116.3481155,2025-07-01 10:00:06+00:00
39.9774405,116.34799,2025-07-01 10:00:36+00:00
39.97871449,116.34792591,2025-07-01 10:01:06+00:00
39.97999528,116.34870588,2025-07-01 10:01:36+00:00
39.98013339,116.35090884,2025-07-01 10:02:06+00:00
39.98018156,116.35290565,2025-07-01 10:02:36+00:00
39.98023147,116.35443594,2025-07-01 10:03:06+00:00
39.98017092,116.35496171,2025-07-01 10:03:36+00:00
39.98021758,116.35488067,2025-07-01 10:05:16.435000+00:00
39.97996433,116.35569069,2025-07-01 10:08:03+00:00
39.98019987,116.35554638,2025-07-01 10:10:31+00:00
39.97968022,116.3557025,2025-07-01 10:11:03+00:00
39.97966941,116.35581015,2025-07-01 10:11:45.411000+00:00
39.97969961,116.35573464,2025-07-01 10:12:16+00:00
39.97974556,116.35497581,2025-07-01 10:12:46+00:00
39.97974475,116.35490782,2025-07-01 10:13:17.428000+00:00
39.97973752,116.35490849,2025-07-01 10:13:48+00:00
39.97974236,116.35491642,2025-07-01 10:14:19.414000+00:00
39.97975151,116.35492404,2025-07-01 10:14:57.423000+00:00
39.9797644,116.35493334,2025-07-01 10:15:37.012000+00:00
39.97856244,116.3544124,2025-07-01 10:17:20.490000+00:00
39.9783104,116.35408662,2025-07-01 10:17:57.670000+00:00
39.97810562,116.35444563,2025-07-01 10:18:28+00:00
