dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1751080919,1,116.349811,39.960950,0.000000,0.000000,0.000000,0.000000,0,0,55.212341
1751081009,1,116.350968,39.960949,0.000000,0.000000,2.110000,0.000000,0,0,47.357239
1751081039,1,116.350995,39.962085,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081069,1,116.350850,39.963285,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081099,1,116.351321,39.963671,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081129,1,116.353836,39.963761,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081159,1,116.354477,39.964040,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081469,1,116.354761,39.962554,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081499,1,116.354712,39.961093,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081529,1,116.353069,39.961016,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081559,1,116.352554,39.961607,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081901,1,116.352056,39.962473,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751081931,1,116.350964,39.962912,0.000000,0.000000,4.120000,0.000000,0,0,40.760620
1751081961,1,116.350528,39.963259,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751086597,1,116.349674,39.963087,0.000000,0.000000,0.000000,0.000000,0,0,46.344849
1751086657,1,116.350130,39.963183,0.000000,0.000000,0.000000,0.000000,0,0,61.422058
1751087227,1,116.349378,39.963358,0.000000,0.000000,0.250000,0.000000,0,0,75.044067
1751087317,1,116.349888,39.963220,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751087437,1,116.349368,39.963291,0.000000,0.000000,0.000000,0.000000,0,0,71.489014
1751087947,1,116.350147,39.963234,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751087978,1,116.349487,39.963230,0.000000,0.000000,0.000000,0.000000,0,0,108.024719
1751088038,1,116.350176,39.963237,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751088069,1,116.349689,39.963200,0.000000,0.000000,0.200000,0.000000,0,0,95.378906
1751088249,1,116.350159,39.963218,0.000000,0.000000,0.000000,0.000000,0,0,57.648804
1751089751,1,116.349361,39.963226,0.000000,0.000000,0.370000,0.000000,0,0,82.640015
1751089841,1,116.350143,39.963259,0.000000,0.000000,0.910000,0.000000,0,0,72.329956
1751089871,1,116.349470,39.963242,0.000000,0.000000,0.590000,0.000000,0,0,69.260559
1751089991,1,116.350176,39.963199,0.000000,0.000000,0.550000,0.000000,0,0,47.577698
1751090081,1,116.349439,39.963264,0.000000,0.000000,0.000000,0.000000,0,0,63.563232
1751090623,1,116.348960,39.963295,0.000000,0.000000,0.840000,0.000000,0,0,80.396790
1751090863,1,116.349725,39.963241,0.000000,0.000000,0.410000,0.000000,0,0,73.369446
1751090943,1,116.349112,39.963272,0.000000,0.000000,1.990000,0.000000,0,0,46.248657
1751090983,1,116.349987,39.963242,0.000000,0.000000,0.250000,0.000000,0,0,50.278198
1751091721,1,116.349606,39.962974,0.000000,0.000000,0.450000,0.000000,0,0,30.849304
1751091864,1,116.350182,39.963224,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751092122,1,116.349335,39.963266,0.000000,0.000000,0.000000,0.000000,0,0,101.616943
1751092132,1,116.350274,39.963243,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751092163,1,116.349183,39.963316,0.000000,0.000000,0.000000,0.000000,0,0,94.265991
1751092343,1,116.350228,39.963309,0.000000,0.000000,0.000000,0.000000,0,0,74.345398
1751092524,1,116.350952,39.962403,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751092554,1,116.351068,39.961036,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751092584,1,116.350727,39.960407,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751092644,1,116.350188,39.960482,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751102662,1,116.351052,39.960813,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751102692,1,116.352128,39.960952,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751102722,1,116.352508,39.961551,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751102919,1,116.351659,39.962465,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751102949,1,116.350902,39.963181,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751102979,1,116.350898,39.963627,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751103009,1,116.351844,39.963635,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751103039,1,116.354479,39.963762,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751103155,1,116.351644,39.963693,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751103185,1,116.350838,39.963614,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751103245,1,116.350089,39.963097,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751103201,1,116.350857,39.963582,0.000000,0.000000,0.000000,0.000000,0,0,50.174072
1751103358,1,116.350014,39.963162,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751109541,1,116.351172,39.962392,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751109571,1,116.351782,39.962524,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751109631,1,116.351047,39.962492,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751109661,1,116.351004,39.960958,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751109691,1,116.350223,39.960406,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112215,1,116.351062,39.960695,0.000000,0.000000,5.440000,0.000000,0,0,47.962646
1751112245,1,116.351043,39.962196,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112275,1,116.351366,39.962783,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112335,1,116.352417,39.962169,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112365,1,116.352381,39.961063,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112395,1,116.353611,39.960947,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112425,1,116.354627,39.960958,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112455,1,116.354779,39.960194,0.000000,0.000000,3.730000,0.000000,0,0,51.220154
1751112485,1,116.354916,39.959366,0.000000,0.000000,2.640000,0.000000,0,0,50.173889
1751112515,1,116.354948,39.958354,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112545,1,116.355014,39.956797,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112575,1,116.355964,39.956506,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112605,1,116.357603,39.956502,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112635,1,116.359300,39.956476,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112665,1,116.360463,39.956471,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112725,1,116.360291,39.956842,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112815,1,116.360485,39.957244,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112875,1,116.360411,39.957790,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112935,1,116.359638,39.957974,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751112965,1,116.359121,39.957998,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751113025,1,116.358062,39.958033,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751113055,1,116.357592,39.958113,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751113206,1,116.358171,39.958096,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751113267,1,116.358000,39.958453,0.000000,0.000000,3.570000,0.000000,0,0,43.376709
1751113297,1,116.357766,39.958798,0.000000,0.000000,0.000000,0.000000,0,0,43.571533
1751114601,1,116.358410,39.958632,0.000000,0.000000,0.000000,0.000000,0,0,65.800476
1751118335,1,116.358162,39.957943,0.000000,0.000000,0.950000,0.000000,0,0,66.070312
1751118380,1,116.358864,39.957859,0.000000,0.000000,1.210000,0.000000,0,0,45.733459
1751118440,1,116.359621,39.957892,0.000000,0.000000,1.170000,0.000000,0,0,45.792542
1751118500,1,116.360423,39.957840,0.000000,0.000000,1.170000,0.000000,0,0,46.997253
1751118560,1,116.360417,39.957216,0.000000,0.000000,1.170000,0.000000,0,0,48.910034
1751118620,1,116.360226,39.956758,0.000000,0.000000,0.000000,0.000000,0,0,50.666260
1751118680,1,116.358725,39.956706,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751118710,1,116.356057,39.956720,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751118740,1,116.355146,39.957994,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751118770,1,116.355046,39.960572,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751118800,1,116.354212,39.961033,0.000000,0.000000,4.270000,0.000000,0,0,47.064270
1751118830,1,116.352620,39.960994,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751118860,1,116.352447,39.962438,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751118890,1,116.351355,39.962595,0.000000,0.000000,3.230000,0.000000,0,0,51.500488
1751119680,1,116.350632,39.962753,0.000000,0.000000,3.690000,0.000000,0,0,85.833252
1751119711,1,116.351378,39.962741,0.000000,0.000000,0.000000,0.000000,0,0,44.352905
1751119771,1,116.350853,39.962020,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751119851,1,116.350320,39.962093,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751120034,1,116.350456,39.961621,0.000000,0.000000,0.000000,0.000000,0,0,33.690002
1751120044,1,116.350257,39.962032,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751120135,1,116.350093,39.962507,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751120165,1,116.350107,39.963154,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751120255,1,116.349548,39.963111,0.000000,0.000000,0.510000,0.000000,0,0,121.151550
1751120285,1,116.350267,39.963512,0.000000,0.000000,2.990000,0.000000,0,0,49.718994
1751120711,1,116.349253,39.963256,0.000000,0.000000,0.000000,0.000000,0,0,96.575012
1751120930,1,116.350232,39.963232,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751125836,1,116.349566,39.963260,0.000000,0.000000,0.630000,0.000000,0,0,71.098999
1751125987,1,116.350237,39.963237,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751126339,1,116.349265,39.963303,0.000000,0.000000,2.710000,0.000000,0,0,92.710388
1751126374,1,116.350209,39.963231,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751128180,1,116.349551,39.963206,0.000000,0.000000,0.000000,0.000000,0,0,96.040222
1751129051,1,116.350070,39.963286,0.000000,0.000000,0.750000,0.000000,0,0,100.490112
1751129171,1,116.349415,39.963307,0.000000,0.000000,0.670000,0.000000,0,0,120.314148
1751130161,1,116.349820,39.963120,0.000000,0.000000,0.000000,0.000000,0,0,135.945923
1751140186,1,116.350272,39.963239,0.000000,0.000000,0.000000,0.000000,0,0,54.946594
1751152572,1,116.349987,39.963551,0.000000,0.000000,0.290000,0.000000,0,0,47.678528
1751152701,1,116.350070,39.962537,0.000000,0.000000,1.640000,0.000000,0,0,51.428345
1751153489,1,116.351630,39.962432,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
1751153579,1,116.350902,39.962501,0.000000,0.000000,0.960000,0.000000,0,0,50.721191
1751153669,1,116.350899,39.963256,0.000000,0.000000,0.000000,0.000000,0,0,0.000000
